BRT2支,朝阳门 - 东大桥 - 东大桥东站 - 小庄路口东 - 呼家楼东 - 小庄路口东 - 红庙路口西 - 英家坟 - 慈云寺 - 东八里庄 - 十里堡 - 青年路南口 - 太平庄 - 民航医院 - 大黄庄桥西 - 定福庄 - 第二外国语学院 - 朝阳路三间房 - 周家井 - 管庄 - 杨闸环岛西 - 杨闸(
BRT3支,安定门 - 地坛西门 - 蒋宅口 - 安贞桥北 - 五路居 - 炎黄艺术馆 - 慧忠北里 - 华汇商厦 - 仰山桥南 - 仰山桥北 - 天乐园小区 - 立水桥南站 - 立水桥北站 - 天通西苑南 - 天通西苑北 - 天通苑太平庄 - 东三旗南站 - 地铁天通苑北站 - 东三旗 - 平西王府路口南 - 王府温馨公寓 - 宏福苑小区南 - 宏福苑小区西
637,"北京站东-北京站前街-建国门南-马圈-垂杨柳-双井桥西-双井桥南-劲松桥东-南磨房-平乐园-平乐园小区-窑洼湖桥东-朝阳区大柳树-百子湾火车站-垡头市场-垡头-垡头南站-工业技师学院-北京焦化厂-孙家坡-董村-北神树西口-北神树东口-次渠镇西口-敬园小区-次渠镇-次渠""
"
,
639,"北京站东-北京站前街-日坛路-永安里路口北-北京制药厂-光华桥西-光华中路-光华路东口-红庙路口东-慈云寺-东八里庄-十里堡西站-甘露园小区-青年路南口-太平庄-民航医院-朝阳路高井-大黄庄桥东-定福庄-第二外国语学院-朝阳路三间房-周家井-管庄路口北-科技大学管庄校区-常营-常营路口东-五里桥-高安屯-马各庄东-马各庄坤江市场-楼梓庄马家沟-楼梓庄南站-楼梓庄路口南-楼梓庄乡政府-曹各庄-海洼子-皮村-朝阳农场-黎各庄""
"
,
646,"前门 - 北京供电局 - 和平门东 - 校场口 - 菜市口北 - 南横街 - 自新路口北 - 开阳桥北 - 开阳桥南 - 万芳桥北 - 万芳桥南 - 嘉园二里东门 - 四顷三村 - 公益西桥北 - 恋日家园 - 世界花卉大观园 - 新发地桥北 - 陈留村南口 - 高立庄 - 羊坊村 - 狼垡 - 芦永路口 - 立垡村 - 马厂村 - 西营村 - 军留庄 - 篱笆房 - 长阳路口 - 送变电公司 - 良乡火车站 - 良乡陶瓷厂 - 良乡东关 - 良乡南关 - 良乡西门 - 良乡西路 - 良乡闫村桥
"
,
662,云岗101所-东王佐北-云岗砖厂-云岗-云岗北区-佃起村-张家坟-朱家坟-赵辛店-北京十中-长辛店医院-长辛店南口-长辛店北口-杜家坎-卢沟新桥-抗战雕塑园-西道口-岳各庄桥东-六里桥北里-北京西站-小马厂-天宁寺桥西-西便门-复兴门南-长椿街路口西 
,
72路,北京西站南广场 - 太平桥东里 - 华源三里 - 东局 - 北京西站南路南口 - 菜户营桥西 - 霸王广场 - 右安门西 - 开阳桥西 - 陶然亭公园南门 - 北京南站南广场
,
T7,世界公园 - 田何庄 - 六圈 - 科丰桥南 - 科丰桥北 - 韩庄子南 - 南山路西 - 看丹桥北 - 正阳桥北 - 北大地 - 岔路口 - 七里庄 - 丰台北路 - 西局 - 六里桥南 - 六里桥东 - 莲花池 - 湾子 - 达官营 - 长椿街路口东 - 宣武门东 - 和平门东 - 前门 
11,大北窑东-八王坟南-北京东站北-九龙山-珠江帝景-大郊亭桥西-大郊亭桥东-东石门-唐家村-小海子-四根旗杆-方家村-朝阳半壁店
30,祁家坟-潘道庙-北京工业大学-北京工业大学北站-平乐园北-珠江帝景-九龙山-北京东站北-八王坟北-光华路东口-红庙路口北-金台路口南-甜水园西里
,
34,祁家坟-潘道庙-北京工业大学-松榆东里南门-京体游泳馆-武圣路南口-武圣路-潘家园桥东-潘家园桥西-华威西里-潘家园路西口-劲松南路西口-光明楼-北京体育馆-北京体育馆西-法华寺-天坛北门-天桥路口东-友谊医院-虎坊桥路口南-虎坊桥
63,丽泽桥-丽泽桥南-丰益桥东-鹅凤营西-鹅凤营-万泉寺-菜户营桥西-菜户营桥东-大观园-右安门西-右安门东-开阳桥西-北京南站
303,西闸-白水洼北站-白水洼-上庄东小营-上庄卫生院-上庄南口-上庄水库-水库南口-上庄乡-永丰屯-仁达中学-屯佃-亮甲店西站-亮甲店-西北旺-黑山扈（三零九医院）-颐和园北宫门
304,巴沟村-海淀南路西口-海淀南路-海淀黄庄东-知春里-知春里东站-知春路-学知桥南-蓟门桥北-蓟门桥南-明光桥北-明光桥东-北京师范大学南门-铁狮子坟-北太平桥北-牡丹园
309, 广外甘石桥-广安门北-广安门北-达官营-湾子-六里桥东-小井桥东-丰台路口东-丰台路口西-大井-五里店东站-五里店-五里店西站-西道口-抗战雕塑园-卢沟新桥-杜家坎-崔村-二七厂
311,"工人疗养院-西下庄-杏石口-八大处中学-雍王府-绍家坡-福寿岭-模式口东里-金顶北路-金顶街北口-金顶街三区-地铁苹果园站-苹果园西"
316,"昌平东关-中国政法大学(昌平) -东环北路-昌平北站-西环北路-昌平西关-明皇蜡像宫-涧头-大宫门-南新村-昌平胡庄 -七孔桥-定陵道口-定陵-长陵"
325,衙门口-京原路口西-京燕饭店-八角西街-八角南路-古城公园-古城东街-八角北路西口-古城北路西口-杨庄路西口-苹果园南-地铁苹果园站-金顶南路-金安桥西-铸造村-首钢小西门-广宁村-石景山火车站-麻峪-电厂路-高井路口南
326,超前路 - 火炬街 - 润杰经典小区 - 昌平中医院 - 新新公寓东门 - 昌平一中 - 中国政法大学北门 - 松园小区西门 - 亢山广场 - 昌平东关 - 前锋学校 - 朝凤庵村
327,"槐树岭公交总站-南营-八一射击场-芦井-漫水桥-燕山水泥厂-河堤-石景山水屯-三号桥-衙门口村-衙门口西-京原路口西-八角-石景山古城-老古城"
329,"晓月苑小区-晓月苑一里-抗战雕塑园-卢沟新桥-杜家坎-长辛店北口-长辛店南口-北京十中-赵辛店-朱家坟-二老庄-张家坟北-董家坟-马家坟-辛庄路口-吕村-杨家坟东口-太子峪陵园-李家峪"
330,后沙涧-前沙涧-稻香湖-西小营-高里掌-温泉辛庄北站-温泉辛庄-温泉-温泉苗圃-白家疃西口-白家疃东口-杨家庄-温泉路东口-太舟坞-屯佃大桥-亮甲店西站-亮甲店-回民公墓 -西北旺-百望山森林公园-黑山扈（三零九医院）-国防大学-红山口-安河桥-颐和园北宫门-颐和园
338,玉泉路口南-石槽-小瓦窑-曹家坟-梅市口-梅市口南站-小屯东口-双林南路-双楼村-大井-丰台路口西-丰台体育中心
339,六里桥东-小井桥东-岳各庄桥北-丰台路口西-大井-五里店东站-五里店-西道口-抗战雕塑园-卢沟新桥-杜家坎-长辛店北口-长辛店南口-长辛店医院-北京十中-赵辛店-朱家坟-张家坟-佃起村-云岗-南宫商业街-东王佐-王佐
,
341,旧宫-庑殿路南口-吉庆庄-清和园-万源路-六营门-东营房-南小街-德茂庄-中兴庄-瀛海庄-三槐堂-杜庆堂-北普陀影视城-南宫村-南大红门-曹村-垡上-青云店敬老院-青云市场-花园新村-五村-青云店镇 
348,大北窑-内燃机厂-双井-造纸厂-化工路西口-平乐园-平乐园路-楼梓庄-大柳树-百子湾火车站-垡头市场-垡头-玻璃二厂-染料总厂-焦化厂 
353,万源路-东高地-三营门东-新华路南口-红房子路口西-五爱屯-南苑西路-新宫村-新发地桥西-银地家园-花乡桥东-四合庄-新村-造甲村-韩庄子北-看丹桥-富丰桥西 
357,昌平东关 - 中国政法大学 - 昌平南大街 - 昌平西关 - 明皇蜡像宫 - 邓庄 - 旧县 - 陈庄 - 红泥沟 - 昌平南口东街 - 昌平南口东站 - 昌平南口 - 昌平南口西站 - 南口马坊 - 南口李庄 - 白房子 - 曹家庄 - 北流村 - 西峰山 - 王峪沟 - 瓦窑 - 高崖口乡 - 高崖口
363,四惠站-陈家林-四惠东站-高碑店桥南-高碑店-高碑店南站-朝阳半壁店-观音堂-王四营-王四营桥东-五方桥西-白鹿司-豆各庄桥-青青家园
364,小庄路口东-红庙路口东-十里堡-太平庄-定福庄-朝阳路三间房-管庄路口北-科技大学管庄校区-常营-东小井-焦庄-三岔河南站-三岔河-马厂-北马房-长店路口东-金盏
370,公主坟西-翠微路口-万寿路口西-东翠路口-沙沟路口东-五棵松桥东-永定路口东-玉泉路口东-航天部医院-玉海园-田村山南路-干休所-梁公庵-沙石路口北-什坊院-廖公庄东站-廖公庄-西黄村小区-苹果园南路东口-苹果园中学-苹果园东-地铁苹果园站-金顶南路-金安桥西-铸造村-首钢小西门-广宁村-石景山火车站-麻峪-麻峪北口-侯庄子-双峪环岛西-新桥大街-河滩-小黑山-龙门-增产路-东辛房-西辛房-门头沟圈门
372,通州北苑路口南-通州北苑路口东-通州西门路口东-西大街路口西-潞河医院-果园环岛东-九棵树-杨家洼-云景东路-云景里-群芳园-大马庄-大马庄南站-通州古玩城
377,北京南站-开阳桥西-右安门东-右安门-右安门外-翠林小区-嘉园二里西门-嘉园三里北-嘉园三里-城南嘉园-恋日家园-世界花卉大观园-新发地桥北-九龙山庄-西红门北站-西红门南站-郁花园-郁花园二里-欣和街-宏康路-西红门西站
385,大灰厂西站-大灰厂-丰台区李家坟-大灰厂村-北宫森林公园-丰台区辛庄-辛庄东站-南营-八一射击场-芦井-漫水桥-燕山水泥厂-河堤-石景山水屯-衙门口村-衙门口西-京原路口东-石景山古城-老古城
389,八大处-八大处中学-杏石口-西下庄-西黄村小区-苹果园南路东口-黄南苑小区-杨庄路东口-八角西街北口-石景山科技馆-八角西街-京燕饭店-京原路口东-京原东站-老山-地铁八宝山站-八宝山-玉泉路口西
393,育新小区-育新小区北口-邮政研究院-西三旗桥东-西三旗桥西-安宁里-安宁里南站-安宁庄东路南口-清河大楼-上地环岛东-上地环岛南-上地南口-树村东口-树村-厢黄旗-农大南路西口-肖家河-小清河-骚子营-坡上村-颐和园北宫门
411,红庙路口东-英家坟-慈云寺-东八里庄-十里堡-甘露园小区-青年路南口-民航医院-朝阳路高井-大黄庄桥东-定福庄-第二外国语学院-朝阳路三间房-城铁双桥站-双桥南-东柳-咸宁候-何家坟-豆各庄乡水电站-白鹿司-豆各庄乡-黄厂-孙家坡-马家湾-豆各庄乡政府
417,慧忠里-北辰东路-慧忠路西口-炎黄艺术馆-大屯南-北苑路大屯北站-辛店村-北苑-大羊坊-立水桥-立水桥北站-城铁立水桥站-东小口-天通苑西门-丽水园-天通苑太平庄-天通北苑一区南-天通北苑二区南-天通北苑三区南-白坊-歇甲村-路新沥青厂-南七家-燕丹村-燕丹乡政府-燕丹
424,单店-康静里-朝阳医院分院-李家坟-青年路北口-将台洼-东风南路-南十里居
426,地坛西门-蒋宅口-安外甘水桥-安贞桥北-五路居-奥体东门-安慧桥北-炎黄艺术馆-大屯南-北苑路大屯北站-辛店村-北苑-大羊坊-立水桥-立水桥北站-城铁立水桥站-东小口-天通苑西门-天通苑太平庄-东三旗南站-东三旗-平西府-望都家园-北七家工业园区-北七家-东二旗村-沟岭新村-小河湾-鲁疃
429,吉晟别墅-城铁回龙观站-龙腾苑三区东门-云趣园-回龙观小区-风雅园北-广场西门-龙华园-龙华园南区-城铁龙泽苑站
435,梨园-通州小街桥东-梨园东里小区-通州三间房-梨园北街-玉桥东路-玉桥北里-乔庄北街-玉桥中路-玉桥中路北口-西上园小区-通州东关-新华大街-西大街路口西-通州西门路口东-通州北苑路口南
439,十里河桥东-十里河居然之家-周家庄-小武基路西口-小武基桥西-小武基桥东-邱家庄-厚俸村-小武基路东口-朝阳区大柳树-百子湾火车站
441,城铁龙泽苑站-龙华园南区-回龙观小区-龙禧苑五区西门-回龙观西大街-回龙观东大街东口-华龙苑北里北门-天鑫家园
443,城铁龙泽苑站-龙华园南区-龙华园-广场西门-风雅园北-回龙观小区-云趣园-龙禧苑五区西门-回龙观西大街-体育公园北门-霍营小区西区-矩阵小区-和谐家园-回龙观东大街东口-华龙苑北里北门-天鑫家园
446,城铁望京西站-湖光中街西口-南湖东园-河荫西路西口-望京花园西区-利泽中街西口-利泽中二路-广泽路-望京北路东口
447,城铁上地站-上地南路-上地环岛南-上地五街-上地七街-软件园东站-软件园广场-东北旺北-唐家岭北站-唐家岭-邓庄子-航天城-航天城北站
,
449,城铁上地站-上地南路-上地环岛南-上地五街-上地七街-软件园东站-软件园广场-东北旺北-唐家岭北站-唐家岭-邓庄子-航天城-航天城北站
,
453,开发区交通服务中心-荣昌西街-青年公寓-中芯花园-鹿海苑小区-宝善路口-姜场村-玉璟园-瀛海路口-中兴庄-徳茂庄
,
458,北京南站 - 北京南站(西行) - 开阳桥西 - 右安门东 - 右安门桥 - 菜户营桥西 - 中国戏曲学院 - 三路居 - 丽泽桥东 - 丽泽桥 - 丰台北路东 - 丰台北路 - 七里庄 - 丰北桥东 - 丰台体育中心南门 - 大井 - 五里店东站 - 五里店 - 五里店西站 - 西道口 - 抗战雕塑园 - 杜家坎 - 崔村 - 二七厂 - 崔村西 - 留霞峪 - 太子峪环岛 - 杨家坟东口 - 吕村 - 吕村南站 - 辛庄路口 - 镇岗塔路 - 云岗北区 - 云岗 - 南宫市场 - 南宫 - 王佐镇政府 - 世界地热博览园 - 庄户路口 - 云岗南宫
470,城铁望京西站-湖光中街西口-南湖东园-侯庄路口北-望京花园西区-望京花园西区北门-望京花园东区北门-望京花园东区-望京东园-望京西园三区北门-望京街西口-望京西园四区-广顺南大街北口-望花路-花家地北里-花家地南里-阜通东大街南口-望京桥东-望京桥西-城铁望京西站
480,丽泽桥-丰台北路东-丰台北路-七里庄-岔路口-北大地-正阳桥北-看丹桥-富丰桥南-科丰桥南-六圈-田何庄-世界公园-葆台路-小葆台村-芦花路-公交驾校-长丰园一区-长丰园二区-东方时尚驾校-长丰园南站"
483,西红门西站 - 宏康路 - 欣和街 - 宏福路 - 陈留村南口 - 陈留村 - 天伦锦城 - 银地家园东 - 新发地桥西 - 新发地桥北 - 马家楼桥北 - 玉泉营桥南 - 玉泉营桥西 - 夏家胡同 - 丰益桥北 - 丽泽桥北 - 西局 - 六里桥南 - 六里桥北 - 莲花桥 - 公主坟南 - 公主坟
,
491,朝凤庵村 - 前锋学校 - 昌平东关路口南 - 宁馨苑小区南门 - 昌盛园二区东门 - 世涛天朗小区南门 - 昌盛路 - 富泉花园南门 - 白浮泉路 - 拓然家园 - 昌平永安路南口 - 昌平永安路 - 昌平永安里小区 - 昌平中心公园 - 昌平南大街 - 中国政法大学(昌平) - 昌平东关 - 前锋学校 - 朝凤庵村
492,朝凤庵村 - 前锋学校 - 昌平东关 - 中国政法大学(昌平) - 昌平南大街 - 昌平中心公园 - 昌平永安里小区 - 昌平永安路 - 昌平永安路南口 - 拓然家园 - 白浮泉路 - 富泉花园南门 - 昌盛路 - 世涛天朗小区南门 - 昌盛园二区东门 - 宁馨苑小区南门 - 昌平东关路口北 - 前锋学校 - 朝凤庵村
501,南苑机场 - 南苑机场家属区 - 南苑机场候机楼 - 南苑机场修理厂 - 大营门 - 三营门 - 和义南站 - 和义农场 - 久敬庄 - 大红门桥 - 公益东桥 - 公益东桥北 - 西马厂 - 西马厂北口 - 角门北路东口 - 角门北路 - 马家堡小区 - 嘉园二里东门 - 嘉园二里南门 - 北甲地 - 欣园小区东 - 欣园小区北 - 草桥
510,牡丹园西 - 牡丹园东 - 健德门桥西 - 健德门桥东 - 华严北里 - 北辰西桥南 - 北辰西桥北 - 新闻中心 - 南沟泥河 - 奥运村西 - 林萃路 - 澳林春天小区 - 倚林佳园东门 - 京师园北门 - 双泉堡东
512,上庄卫生院-上庄南口-上庄水库-水库南口-上庄乡-仁达中学-永丰屯-屯佃-亮甲店西站-亮甲店-颐和山庄南-西北旺-农大路北口-梅园-中国农业大学西校区-肖家河-小清河-骚子营-西苑北站-西苑
,
513,大郊亭桥 - 大郊亭桥西 - 珠江帝景 - 平乐园北 - 北京工业大学北站 - 北京工业大学 - 松榆东里东门 - 南新园 - 弘燕路小区 - 弘燕路 - 周庄嘉园 - 十里河居然之家 - 十里河桥北 - 华威桥南 - 十里河桥东 - 十里河村 - 四道口桥北 - 四道口桥南 - 吕营嘉园(
516,马桥 - 燕莎桥南 - 燕莎桥东 - 莱太花卉 - 五里沟 - 肖君庙 - 芳园南里西区 - 芳园南里 - 将台路(口东) - 将台路东站 - 酒仙桥东路南口 - 酒仙桥东路北口 - 孙家村 - 环行铁道(
521,城铁上地站 - 上地东街中路 - 上地六街东口 - 城铁西二旗站 - 唐家岭东 - 唐家岭北路东口 - 京包路 - 京包路北口 - 生命科学园
524,地铁宋家庄站(丰台曹家沟) - 双庙 - 双庙东站 - 红寺村 - 肖村桥西 - 姚村 - 小红门路口北 - 珊瑚桥南 - 宣颐家园 - 碧海公园 - 科技路 - 庑殿路南口 - 旧宫 - 育龙家园 - 灵秀山庄 - 灵秀山庄东站
529,翠海明苑 - 翠海明苑西 - 新发地桥北 - 马家楼桥北 - 玉泉营桥南 - 玉泉营桥东 - 草桥 - 北京戏曲艺术职业学院 - 洋桥西 - 万芳桥东 - 北京南站南广场(
530,玉泉路口南 - 玉泉路口北 - 正大路西口 - 航天部医院 - 玉海园 - 黄家坟 - 阜玉路口北 - 畅茜园小区 - 田村中街 - 田村西口 - 什坊院 - 廖公庄
